"30 - 34세","대학(교)",77371,49811,84508,58406,89202,64957,91998,69349,85467,66508,84819,66624,76070,60264,66668,54063,62986,52320,56164,48661,51406,44988
"30 - 34세","대학원 이상",11132,7112,11415,8116,11996,9093,12017,9748,11638,9534,11305,9372,9975,8539,8928,7791,8503,7665,7824,7137,7150,6503
"30 - 34세","미상",946,864,353,382,501,514,599,601,1438,1344,1406,1305,2630,2481,3678,3466,4391,4316,4815,4684,5927,5776
"35 - 39세","총계",48981,26486,49120,26345,49103,27189,48492,27304,47575,28344,49507,29953,48807,30154,48186,30564,48875,31559,46262,30446,39685,26492
"35 - 39세","무학",43,47,57,50,21,36,39,26,41,30,27,30,23,17,22,31,45,38,37,46,24,31
"35 - 39세","초등학교",266,301,200,266,203,194,170,186,175,146,150,122,156,135,146,159,127,163,134,136,81,97
"35 - 39세","중고등학교",20152,13708,18780,12655,17306,12008,16064,11200,14583,10768,14186,10397,13455,9797,13176,9539,12823,9177,11433,8360,9154,6653
"35 - 39세","중학교",1344,1527,1148,1179,1005,1007,840,863,787,741,746,648,724,660,714,654,749,640,670,644,534,521
"35 - 39세","고등학교",18808,12181,17632,11476,16301,11001,15224,10337,13796,10027,13440,9749,12731,9137,12462,8885,12074,8537,10763,7716,8620,6132
"35 - 39세","대학이상",28011,12081,29883,13196,31300,14744,31941,15679,32123,16955,34472,18880,33644,19168,32666,19201,32944,20108,31417,19432,26719,16992
"35 - 39세","대학(교)",23701,10308,25363,11273,26597,12496,27312,13284,27750,14358,30083,16112,29445,16398,28607,16406,28778,17143,27358,16377,23219,14429
"35 - 39세","대학원 이상",4310,1773,4520,1923,4703,2248,4629,2395,4373,2597,4389,2768,4199,2770,4059,2795,4166,2965,4059,3055,3500,2563
"35 - 39세","미상",509,349,200,178,273,207,278,213,653,445,672,524,1529,1037,2176,1634,2936,2073,3241,2472,3707,2719
"40 - 44세","총계",21394,13903,21513,13529,22177,13998,21978,13960,22229,14043,22290,14112,21292,13077,19837,12680,20013,12403,19218,11978,16144,10500
"40 - 44세","무학",54,54,49,45,31,51,31,26,19,37,24,39,25,28,25,25,40,27,28,28,20,23
"40 - 44세","초등학교",447,491,370,396,289,357,221,298,207,241,203,245,165,179,162,175,123,146,121,139,119,83
"40 - 44세","중고등학교",12925,9450,12136,8990,12086,8913,11463,8685,10946,8460,10282,8015,9697,7022,8636,6647,8232,5971,7365,5405,5574,4358
"40 - 44세","중학교",1709,1907,1417,1546,1243,1400,1118,1230,1003,980,805,806,669,680,653,646,571,528,489,474,418,363
"40 - 44세","고등학교",11216,7543,10719,7444,10843,7513,10345,7455,9943,7480,9477,7209,9028,6342,7983,6001,7661,5443,6876,4931,5156,3995
"40 - 44세","대학이상",7731,3681,8827,3981,9591,4533,10093,4805,10743,5047,11411,5533,10728,5396,10090,5197,10456,5452,10215,5398,8798,4911
"40 - 44세","대학(교)",6624,3166,7515,3488,8194,3852,8566,4146,9186,4337,9752,4725,9242,4592,8726,4427,9071,4643,8947,4597,7682,4122
"40 - 44세","대학원 이상",1107,515,1312,493,1397,681,1527,659,1557,710,1659,808,1486,804,1364,770,1385,809,1268,801,1116,789
"40 - 44세","미상",237,227,131,117,180,144,170,146,314,258,370,280,677,452,924,636,1162,807,1489,1008,1633,1125
"45 - 49세","총계",13577,10525,12267,9845,12192,9757,11744,9495,11844,10017,11946,9747,12179,9539,12299,9605,12700,9434,12361,9048,9724,7504
"45 - 49세","무학",72,87,71,68,45,64,48,52,34,58,27,38,26,34,15,32,29,25,33,31,11,24
"45 - 49세","초등학교",770,821,580,702,482,593,385,514,318,432,263,361,231,312,205,271,158,210,137,168,83,116
"45 - 49세","중고등학교",8784,7700,7918,7182,7672,6971,7323,6731,7207,6971,7077,6715,6991,6331,6925,6222,6886,5833,6357,5431,4822,4265
"45 - 49세","중학교",1997,2195,1699,1899,1513,1754,1248,1539,1078,1367,954,1130,840,993,786,885,778,784,616,662,470,435
"45 - 49세","고등학교",6787,5505,6219,5283,6159,5217,6075,5192,6129,5604,6123,5585,6151,5338,6139,5337,6108,5049,5741,4769,4352,3830
"45 - 49세","대학이상",3765,1768,3594,1794,3867,1983,3869,2081,4060,2341,4345,2407,4491,2470,4534,2543,4732,2723,4821,2653,3865,2320
"45 - 49세","대학(교)",3175,1555,3053,1573,3290,1745,3314,1810,3451,2066,3747,2100,3822,2142,3917,2198,4081,2355,4145,2316,3306,2022
"45 - 49세","대학원 이상",590,213,541,221,577,238,555,271,609,275,598,307,669,328,617,345,651,368,676,337,559,298
"45 - 49세","미상",186,149,104,99,126,146,119,117,225,215,234,226,440,392,620,537,895,643,1013,765,943,779
"50 - 54세","총계",9073,6452,8905,6844,9025,7341,8806,7169,8682,7525,8645,7343,8196,7117,8303,7087,8149,7003,8297,6991,7047,6132
"50 - 54세","무학",68,69,86,76,58,75,51,59,51,71,57,44,43,52,33,39,26,38,23,45,27,32
"50 - 54세","초등학교",865,856,688,881,720,820,557,743,517,663,440,538,400,501,319,473,260,371,215,248,130,191
"50 - 54세","중고등학교",5954,4629,5807,4891,5745,5274,5654,5266,5424,5390,5265,5200,4950,4890,4974,4839,4746,4607,4617,4457,3758,3750
